leg,expedition,site,hole,latitude,longitude,arrival,water_depth,core_penetrated,core_recovered,url_core,url_log,url_vcd,url_xct,program
28.0,,265,,-53.5408,109.9457,,,463.0,107.9,http://www.ngdc.noaa.gov/mgg/geology/dsdp/data/28/265/index.htm,,,,DSDP
28.0,,266,,-56.4022,110.1117,,,384.0,145.0,http://www.ngdc.noaa.gov/mgg/geology/dsdp/data/28/266/index.htm,,,,DSDP
28.0,,267,A,-59.2623,104.4883,,,66.5,11.6,http://www.ngdc.noaa.gov/mgg/geology/dsdp/data/28/267A/index.htm,,,,DSDP
28.0,,267,B,-59.2623,104.4883,,,323.5,53.28,http://www.ngdc.noaa.gov/mgg/geology/dsdp/data/28/267B/index.htm,,,,DSDP
28.0,,267,,-59.2623,104.4883,,,219.5,26.1,http://www.ngdc.noaa.gov/mgg/geology/dsdp/data/28/267/index.htm,,,,DSDP
28.0,,268,,-63.9498,105.1557,,,474.5,65.6,http://www.ngdc.noaa.gov/mgg/geology/dsdp/data/28/268/index.htm,,,,DSDP
28.0,,269,A,-61.6762,140.0702,,,958.0,55.4,http://www.ngdc.noaa.gov/mgg/geology/dsdp/data/28/269A/index.htm,,,,DSDP
28.0,,269,,-61.6762,140.0702,,,397.5,38.8,http://www.ngdc.noaa.gov/mgg/geology/dsdp/data/28/269/index.htm,,,,DSDP
28.0,,270,,-77.4413,-178.5032,,,408.5,256.3,http://www.ngdc.noaa.gov/mgg/geology/dsdp/data/28/270/index.htm,,,,DSDP
28.0,,271,,-76.7212,-175.0477,,,263.0,15.2,http://www.ngdc.noaa.gov/mgg/geology/dsdp/data/28/271/index.htm,,,,DSDP
28.0,,272,,-77.127,-176.7602,,,443.0,162.04,http://www.ngdc.noaa.gov/mgg/geology/dsdp/data/28/272/index.htm,,,,DSDP
28.0,,273,A,-74.5382,174.6262,,,338.0,55.62,http://www.ngdc.noaa.gov/mgg/geology/dsdp/data/28/273A/index.htm,,,,DSDP
28.0,,273,,-74.5382,174.6262,,,76.0,27.9,http://www.ngdc.noaa.gov/mgg/geology/dsdp/data/28/273/index.htm,,,,DSDP
28.0,,274,,-68.9968,173.4273,,,421.0,279.08,http://www.ngdc.noaa.gov/mgg/geology/dsdp/data/28/274/index.htm,,,,DSDP
29.0,,275,,-50.439,176.3165,,,43.0,17.02,http://www.ngdc.noaa.gov/mgg/geology/dsdp/data/29/275/index.htm,,,,DSDP
29.0,,276,,-50.8018,176.8067,,,1.0,0.2,http://www.ngdc.noaa.gov/mgg/geology/dsdp/data/29/276/index.htm,,,,DSDP
29.0,,277,,-52.2238,166.1913,,,434.5,254.8,http://www.ngdc.noaa.gov/mgg/geology/dsdp/data/29/277/index.htm,,,,DSDP
29.0,,278,A,-56.557,160.0715,,,19.0,7.5,http://www.ngdc.noaa.gov/mgg/geology/dsdp/data/29/278A/index.htm,,,,DSDP
29.0,,278,,-56.557,160.0715,,,323.5,274.1,http://www.ngdc.noaa.gov/mgg/geology/dsdp/data/29/278/index.htm,,,,DSDP
29.0,,279,A,-51.3357,162.635,,,110.0,79.8,http://www.ngdc.noaa.gov/mgg/geology/dsdp/data/29/279A/index.htm,,,,DSDP
29.0,,280,A,-48.9573,147.2347,,,201.0,96.7,http://www.ngdc.noaa.gov/mgg/geology/dsdp/data/29/280A/index.htm,,,,DSDP
29.0,,280,,-48.9573,147.2347,,,6.0,5.5,http://www.ngdc.noaa.gov/mgg/geology/dsdp/data/29/280/index.htm,,,,DSDP
29.0,,281,A,-47.9973,147.7642,,,28.5,7.1,http://www.ngdc.noaa.gov/mgg/geology/dsdp/data/29/281A/index.htm,,,,DSDP
29.0,,281,,-47.9973,147.7642,,,169.0,101.91,http://www.ngdc.noaa.gov/mgg/geology/dsdp/data/29/281/index.htm,,,,DSDP
29.0,,282,,-42.246,143.4863,,,167.5,63.7,http://www.ngdc.noaa.gov/mgg/geology/dsdp/data/29/282/index.htm,,,,DSDP
29.0,,283,A,-43.91,154.2827,,,11.0,10.3,http://www.ngdc.noaa.gov/mgg/geology/dsdp/data/29/283A/index.htm,,,,DSDP
29.0,,283,,-43.91,154.2827,,,156.0,61.1,http://www.ngdc.noaa.gov/mgg/geology/dsdp/data/29/283/index.htm,,,,DSDP
