Name,Repo Link,Region,Elevation,Lat/Long,x,y
Jan-1,https://amrdcdata.ssec.wisc.edu/dataset?q=%22Jan-1%22&tags=Automatic+weather+stations,Queen Maud Land,152m,-70.536S / 23.780E,23.78,-70.536
Jan-2,https://amrdcdata.ssec.wisc.edu/dataset?q=%22Jan-2%22&tags=Automatic+weather+stations,Queen Maud Land,266m,-70.537S / 24.183E,24.183,-70.537
AGO-4,https://amrdcdata.ssec.wisc.edu/dataset?q=%22AGO-4%22&tags=Automatic+weather+stations,High Polar Plateau,3597m,-82.010S / 96.760E,96.76,-82.01
AGO-5,https://amrdcdata.ssec.wisc.edu/dataset?q=%22AGO-5%22&tags=Automatic+weather+stations,High Polar Plateau,3519m,-77.240S / 123.520E,123.52,-77.24
AGO-A81,https://amrdcdata.ssec.wisc.edu/dataset?q=%22AGO-A81%22&tags=Automatic+weather+stations,High Polar Plateau,2410m,-81.500S / 3.740E,3.74,-81.5
AGO-A84,https://amrdcdata.ssec.wisc.edu/dataset?q=%22AGO-A84%22&tags=Automatic+weather+stations,High Polar Plateau,2103m,-84.360S / -23.860W,-23.86,-84.36
Alexander Tall Tower,https://amrdcdata.ssec.wisc.edu/dataset?q=%22Alexander+Tall+Tower%22&tags=Automatic+weather+stations,Ross Ice Shelf,55m,-78.995S / 170.758E,170.758,-78.995
Allison,https://amrdcdata.ssec.wisc.edu/dataset?q=%22Allison%22&tags=Automatic+weather+stations,High Polar Plateau,2835m,-89.880S / -60.000W,-60,-89.88
Asgard,https://amrdcdata.ssec.wisc.edu/dataset?q=%22Asgard%22&tags=Automatic+weather+stations,Transantarctic Mountains,1750m,-77.600S / 161.070E,161.07,-77.6
Austin,https://amrdcdata.ssec.wisc.edu/dataset?q=%22Austin%22&tags=Automatic+weather+stations,West Antarctica,1292.188m,-75.994S / -87.478W,-87.478,-75.994
Baldrick (M-83),https://amrdcdata.ssec.wisc.edu/dataset?q=%22Baldrick%22&tags=Automatic+weather+stations,High Polar Plateau,1968m,-82.774S / -13.054W,-13.054,-82.774
BAS-AGO,https://amrdcdata.ssec.wisc.edu/dataset?q=%22BAS-AGO%22&tags=Automatic+weather+stations,Antarctic Peninsula,1545m,-77.520S / -23.740W,-23.74,-77.52
Bear Peninsula,https://amrdcdata.ssec.wisc.edu/dataset?q=%22Bear+Peninsula%22&tags=Automatic+weather+stations,West Antarctica,415.856m,-74.548S / -111.868W,-111.868,-74.548
Bonaparte Point,https://amrdcdata.ssec.wisc.edu/dataset?q=%22Bonaparte+Point%22&tags=Automatic+weather+stations,Antarctic Peninsula,8m,-64.778S / -64.067W,-64.067,-64.778
Bowers,https://amrdcdata.ssec.wisc.edu/dataset?q=%22Bowers%22&tags=Automatic+weather+stations,Transantarctic Mountains,2090m,-85.200S / 163.400E,163.4,-85.2
Brianna,https://amrdcdata.ssec.wisc.edu/dataset?q=%22Brianna%22&tags=Automatic+weather+stations,West Antarctica,520.344m,-83.888S / -134.176W,-134.176,-83.888
Buckle Island,https://amrdcdata.ssec.wisc.edu/dataset?q=%22Buckle+Island%22&tags=Automatic+weather+stations,Ocean Islands,520m,-66.870S / 163.240E,163.24,-66.87
Butler Island,https://amrdcdata.ssec.wisc.edu/dataset?q=%22Butler+Island%22&tags=Automatic+weather+stations,Antarctic Peninsula,91m,-72.206S / -60.170W,-60.17,-72.206
Byrd,https://amrdcdata.ssec.wisc.edu/dataset?q=%22Byrd%22&tags=Automatic+weather+stations,West Antarctica,1538.582m,-80.011S / -119.438W,-119.438,-80.011
